prefix,target,model,mode,loss,Baseline-prev,Baseline-horizon,horizon,return_no_interest,return_interest,set,is_better
BTC-USD,Close,NHITS,financial,500916.94,235617.0,551491.1,7,,,val,1
BTC-USD,Close,TFT,financial,467590.3,235617.0,475599.23,2,,,val,1
BTC-USD,Close,TFT,financial,589170.82,235617.0,551491.1,7,,,val,0
BTC-USD,Close,NBEATSx,news,423811.56,235617.0,475599.23,2,,,val,1
BTC-USD,Close,NBEATSx,news,607693.35,235617.0,551491.1,7,,,val,0
BTC-USD,Close,NHITS,news,464787.43,235617.0,475599.23,2,,,val,1
BTC-USD,Close,NHITS,news,506559.14,235617.0,551491.1,7,,,val,1
BTC-USD,Close,TFT,news,463701.39,235617.0,475599.23,2,,,val,1
BTC-USD,Close,TFT,news,555111.21,235617.0,551491.1,7,,,val,0
BTC-USD,Close,NBEATSx,financial_and_news,453738.63,235617.0,475599.23,2,,,val,1
BTC-USD,Close,NBEATSx,financial_and_news,541525.94,235617.0,551491.1,7,,,val,1
BTC-USD,Close,NHITS,financial_and_news,448968.97,235617.0,475599.23,2,,,val,1
BTC-USD,Close,NHITS,financial_and_news,523973.57,235617.0,551491.1,7,,,val,1
BTC-USD,Close,TFT,financial_and_news,526390.22,235617.0,475599.23,2,,,val,0
BTC-USD,Close,TFT,financial_and_news,876673.47,235617.0,551491.1,7,,,val,0
BTC-USD,Close,NBEATSx,financial,718924.25,641000.49,641000.49,2,,,test,0
BTC-USD,Close,NBEATSx,financial,3402736.57,641000.49,2893400.92,7,,,test,0
BTC-USD,Close,NHITS,financial,772147.5,641000.49,641000.49,2,,,test,0
BTC-USD,Close,NHITS,financial,2467624.03,641000.49,2893400.92,7,,,test,1
BTC-USD,Close,TFT,financial,911145.25,641000.49,641000.49,2,,,test,0
BTC-USD,Close,TFT,financial,2522056.73,641000.49,2893400.92,7,,,test,1
BTC-USD,Close,NBEATSx,news,805798.03,641000.49,641000.49,2,,,test,0
BTC-USD,Close,NBEATSx,news,5195607.47,641000.49,2893400.92,7,,,test,0
BTC-USD,Close,NHITS,news,734224.17,641000.49,641000.49,2,,,test,0
BTC-USD,Close,NHITS,news,2611945.59,641000.49,2893400.92,7,,,test,1
BTC-USD,Close,TFT,news,881565.37,641000.49,641000.49,2,,,test,0
BTC-USD,Close,TFT,news,2685452.38,641000.49,2893400.92,7,,,test,1
BTC-USD,Close,NBEATSx,financial_and_news,736222.61,641000.49,641000.49,2,,,test,0
BTC-USD,Close,NBEATSx,financial_and_news,3084011.32,641000.49,2893400.92,7,,,test,0
BTC-USD,Close,NHITS,financial_and_news,751619.05,641000.49,641000.49,2,,,test,0
BTC-USD,Close,NHITS,financial_and_news,3204861.75,641000.49,2893400.92,7,,,test,0
BTC-USD,Close,TFT,financial_and_news,964682.43,641000.49,641000.49,2,,,test,0
BTC-USD,Close,TFT,financial_and_news,2829691.53,641000.49,2893400.92,7,,,test,1
BTC-USD,log_return_1,NBEATSx,financial,0.64,0.59,0.42,2,,,val,1
BTC-USD,log_return_1,NBEATSx,financial,0.76,0.59,0.66,7,,,val,1
BTC-USD,log_return_1,NHITS,financial,0.6,0.59,0.42,2,,,val,1
BTC-USD,log_return_1,NHITS,financial,0.76,0.59,0.66,7,,,val,1
BTC-USD,log_return_1,TFT,financial,0.74,0.59,0.42,2,,,val,1
BTC-USD,log_return_1,TFT,financial,0.84,0.59,0.66,7,,,val,1
BTC-USD,log_return_1,NBEATSx,news,0.59,0.59,0.42,2,,,val,1
BTC-USD,log_return_1,NBEATSx,news,0.71,0.59,0.66,7,,,val,1
BTC-USD,log_return_1,NHITS,news,0.52,0.59,0.42,2,,,val,1
BTC-USD,log_return_1,NHITS,news,0.64,0.59,0.66,7,,,val,0
BTC-USD,log_return_1,TFT,news,0.58,0.59,0.42,2,,,val,1
BTC-USD,log_return_1,TFT,news,0.84,0.59,0.66,7,,,val,1
BTC-USD,log_return_1,NBEATSx,financial_and_news,0.65,0.59,0.42,2,,,val,1
BTC-USD,log_return_1,NBEATSx,financial_and_news,0.78,0.59,0.66,7,,,val,1
BTC-USD,log_return_1,NHITS,financial_and_news,0.5,0.59,0.42,2,,,val,1
BTC-USD,log_return_1,NHITS,financial_and_news,0.81,0.59,0.66,7,,,val,1
BTC-USD,log_return_1,TFT,financial_and_news,0.66,0.59,0.42,2,,,val,1
BTC-USD,log_return_1,TFT,financial_and_news,0.52,0.59,0.66,7,,,val,0
BTC-USD,log_return_1,NBEATSx,financial,0.52,0.46,0.46,2,,,test,1
BTC-USD,log_return_1,NBEATSx,financial,0.34,0.46,0.27,7,,,test,1
BTC-USD,log_return_1,NHITS,financial,0.45,0.46,0.46,2,,,test,0
BTC-USD,log_return_1,NHITS,financial,0.3,0.46,0.27,7,,,test,1
BTC-USD,log_return_1,TFT,financial,0.45,0.46,0.46,2,,,test,0
BTC-USD,log_return_1,TFT,financial,0.68,0.46,0.27,7,,,test,1
BTC-USD,log_return_1,NBEATSx,news,0.31,0.46,0.46,2,,,test,0
BTC-USD,log_return_1,NBEATSx,news,0.27,0.46,0.27,7,,,test,0
BTC-USD,log_return_1,NHITS,news,0.25,0.46,0.46,2,,,test,0
BTC-USD,log_return_1,NHITS,news,0.3,0.46,0.27,7,,,test,1
BTC-USD,log_return_1,TFT,news,0.36,0.46,0.46,2,,,test,0
BTC-USD,log_return_1,TFT,news,0.38,0.46,0.27,7,,,test,1
BTC-USD,log_return_1,NBEATSx,financial_and_news,0.32,0.46,0.46,2,,,test,0
BTC-USD,log_return_1,NBEATSx,financial_and_news,0.36,0.46,0.27,7,,,test,1
BTC-USD,log_return_1,NHITS,financial_and_news,0.34,0.46,0.46,2,,,test,0
BTC-USD,log_return_1,NHITS,financial_and_news,0.3,0.46,0.27,7,,,test,1
BTC-USD,log_return_1,TFT,financial_and_news,0.43,0.46,0.46,2,,,test,0
BTC-USD,log_return_1,TFT,financial_and_news,0.0,0.46,0.27,7,,,test,0
BTC-USD,log_return_5,NBEATSx,financial,0.81,0.82,0.7,2,,,val,1
BTC-USD,log_return_5,NBEATSx,financial,0.79,0.82,0.75,7,0.0007981902535087938,-0.003202643124322883,val,1
BTC-USD,log_return_5,NHITS,financial,0.82,0.82,0.7,2,,,val,1
BTC-USD,log_return_5,NHITS,financial,0.83,0.82,0.75,7,0.0038189693774868015,-0.00018949391726345727,val,1
BTC-USD,log_return_5,TFT,financial,0.68,0.82,0.7,2,,,val,0
BTC-USD,log_return_5,TFT,financial,0.74,0.82,0.75,7,0.005694461788000322,0.001686750480020912,val,0
BTC-USD,log_return_5,NBEATSx,news,0.76,0.82,0.7,2,,,val,1
BTC-USD,log_return_5,NBEATSx,news,0.68,0.82,0.75,7,0.01078243139318021,0.0067731318421621195,val,0
BTC-USD,log_return_5,NHITS,news,0.78,0.82,0.7,2,,,val,1
BTC-USD,log_return_5,NHITS,news,0.64,0.82,0.75,7,0.007669823515908536,0.003665384847795205,val,0
BTC-USD,log_return_5,TFT,news,0.73,0.82,0.7,2,,,val,1
BTC-USD,log_return_5,TFT,news,0.75,0.82,0.75,7,0.008695184590655948,0.0046882699832836,val,0
BTC-USD,log_return_5,NBEATSx,financial_and_news,0.82,0.82,0.7,2,,,val,1
BTC-USD,log_return_5,NBEATSx,financial_and_news,0.64,0.82,0.75,7,0.00015449484317802,-0.0038459890806321114,val,0
BTC-USD,log_return_5,NHITS,financial_and_news,0.75,0.82,0.7,2,,,val,1
BTC-USD,log_return_5,NHITS,financial_and_news,0.71,0.82,0.75,7,0.00573519283658951,0.001729544483279133,val,0
BTC-USD,log_return_5,TFT,financial_and_news,0.61,0.82,0.7,2,,,val,0
BTC-USD,log_return_5,TFT,financial_and_news,0.75,0.82,0.75,7,0.008588148333356499,0.004581765245826297,val,0
BTC-USD,log_return_5,NBEATSx,financial,0.72,0.64,0.64,2,,,test,1
BTC-USD,log_return_5,NBEATSx,financial,0.36,0.64,0.33,7,-0.008357729361808997,-0.012391097441761922,test,1
BTC-USD,log_return_5,NHITS,financial,0.53,0.64,0.64,2,,,test,0
BTC-USD,log_return_5,NHITS,financial,0.39,0.64,0.33,7,0.011174292555102867,0.007127409144500167,test,1
BTC-USD,log_return_5,TFT,financial,0.38,0.64,0.64,2,,,test,0
BTC-USD,log_return_5,TFT,financial,0.0,0.64,0.33,7,0.0024547319806592356,-0.0015987417364069652,test,0
BTC-USD,log_return_5,NBEATSx,news,0.53,0.64,0.64,2,,,test,0
BTC-USD,log_return_5,NBEATSx,news,0.33,0.64,0.33,7,-0.013399403877513306,-0.01745287985339331,test,0
BTC-USD,log_return_5,NHITS,news,0.65,0.64,0.64,2,,,test,1
BTC-USD,log_return_5,NHITS,news,0.33,0.64,0.33,7,-0.006154418191022875,-0.010206846476637603,test,0
BTC-USD,log_return_5,TFT,news,0.69,0.64,0.64,2,,,test,1
BTC-USD,log_return_5,TFT,news,0.27,0.64,0.33,7,-0.011576921421782595,-0.015624337280005264,test,0
BTC-USD,log_return_5,NBEATSx,financial_and_news,0.72,0.64,0.64,2,,,test,1
BTC-USD,log_return_5,NBEATSx,financial_and_news,0.31,0.64,0.33,7,-0.0009164330025220453,-0.004947671250874552,test,0
BTC-USD,log_return_5,NHITS,financial_and_news,0.53,0.64,0.64,2,,,test,0
BTC-USD,log_return_5,NHITS,financial_and_news,0.33,0.64,0.33,7,-0.005784597183472206,-0.009836867436495315,test,0
BTC-USD,log_return_5,TFT,financial_and_news,0.28,0.64,0.64,2,,,test,0
BTC-USD,log_return_5,TFT,financial_and_news,0.27,0.64,0.33,7,-0.009401864546448658,-0.013447484187276348,test,0
